0 	 3.89314e+28 	 7.84847e+28 	 5.43692e+34
2.5e-10 	 3.89245e+28 	 7.84807e+28 	 5.03546e+34
5e-10 	 3.89316e+28 	 7.85037e+28 	 4.66556e+34
7.5e-10 	 3.89657e+28 	 7.86066e+28 	 4.48526e+34
1e-09 	 3.90072e+28 	 7.88187e+28 	 4.3525e+34
1.25e-09 	 3.90846e+28 	 7.9169e+28 	 4.21953e+34
1.5e-09 	 3.92048e+28 	 7.96094e+28 	 4.03898e+34
1.75e-09 	 3.93907e+28 	 8.03356e+28 	 3.95352e+34
2e-09 	 3.96115e+28 	 8.1233e+28 	 3.8324e+34
2.25e-09 	 3.991e+28 	 8.2431e+28 	 3.81378e+34
2.5e-09 	 4.02698e+28 	 8.38209e+28 	 3.74177e+34
2.75e-09 	 4.06465e+28 	 8.54363e+28 	 3.80779e+34
3e-09 	 4.11004e+28 	 8.71335e+28 	 3.7874e+34
3.25e-09 	 4.15942e+28 	 8.88743e+28 	 3.81273e+34
3.5e-09 	 4.21425e+28 	 9.08122e+28 	 3.81725e+34
3.75e-09 	 4.27154e+28 	 9.29115e+28 	 3.87267e+34
4e-09 	 4.32942e+28 	 9.51067e+28 	 3.8709e+34
4.25e-09 	 4.39379e+28 	 9.75405e+28 	 3.78912e+34
4.5e-09 	 4.46943e+28 	 1.00377e+29 	 3.7299e+34
4.75e-09 	 4.54618e+28 	 1.03039e+29 	 3.86141e+34
5e-09 	 4.621e+28 	 1.06025e+29 	 3.80969e+34
5.25e-09 	 4.71086e+28 	 1.09264e+29 	 3.63538e+34
5.5e-09 	 4.80847e+28 	 1.12779e+29 	 3.67996e+34
5.75e-09 	 4.89907e+28 	 1.15798e+29 	 3.81082e+34
6e-09 	 4.9888e+28 	 1.18891e+29 	 3.77151e+34
6.25e-09 	 5.09049e+28 	 1.22359e+29 	 3.64683e+34
6.5e-09 	 5.20591e+28 	 1.26454e+29 	 3.70604e+34
6.75e-09 	 5.3032e+28 	 1.29687e+29 	 3.8142e+34
7e-09 	 5.4016e+28 	 1.33031e+29 	 3.79868e+34
7.25e-09 	 5.50786e+28 	 1.36359e+29 	 3.68907e+34
7.5e-09 	 5.61782e+28 	 1.40325e+29 	 3.6798e+34
